trend;Скорость реагирования;place_total_fail;place_total_letters;link_numbers;severity;google_rating;place_id;name;place_fail_rel_size;site;rating
0.0;;2.0;148.0;162.0;1.0;;ChIJp7OiFxBLtUYRAlLOfZyUKcg;"Представительство ОАО ""Гедеон Рихтер"" (Венгрия) г. Москва";0.0028011204481792717;http://www.g-richter.ru/;0.5009337068160598
-1.0;43.0;10.0;371.0;53.0;1.0;;ChIJpQ9D8jBItUYRFofd50bTTJQ;Озон ООО;0.12903225806451613;http://ozon-voda.ru/contacts;0.5430107526881721
0.0;;4.0;10.0;158.0;0.9444444444444444;4.0;ChIJq6qqasxEtUYR1tRvm4fQYLs;"Закрытое акционерное общество ""Биокад""";0.014814814814814815;http://www.biocad.ru/;0.3864197530864197
0.0;;1.0;11.0;30.0;1.0;4.5;ChIJq6qqasxEtUYRKMobQ8i0TjU;"Открытое акционерное общество ""Биомед"" им.И.И. Мечникова";0.0075187969924812035;http://www.biomedm.ru/;0.3691729323308271
0.0;184.0;4.0;31.0;;0.7222222222222222;;ChIJqVjuv-I0tUYR24VQf6E9RMM;"Общество с ограниченной ответственностью ""ИСТ-ФАРМ"" (ООО ""ИСТ-ФАРМ"")";0.05263157894736842;;0.4249512670565303
0.0;;2.0;4.0;47.0;0.7222222222222222;5.0;ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";0.015625;http://www.nativa.pro/;0.2459490740740741
0.0;;1.0;157.0;18.0;0.2222222222222222;;ChIJsQrpg-dKtUYR-HoJoprREHs;"Открытое акционерное общество ""Красфарма"" (ОАО ""Красфарма"")";0.006211180124223602;http://kraspharma.ru/;0.24281113411548194
0.0;;2.0;14.0;39.0;1.0;4.0;ChIJsygL9UIUtUYRsYlUQqhOn8U;Роскарфарм АО;0.019417475728155338;http://www.binnopharm.ru/;0.4064724919093851
0.0;;1.0;22.0;75.0;1.0;4.0;ChIJteSYs7FLtUYRN4RzNBJ2P1s;Замбон Свитцерланд Лтд;0.047619047619047616;http://www.zambon.ru/;0.4158730158730159
0.0;;1.0;49.0;30.0;1.0;;ChIJteSYs7FLtUYRPCw1Aiev_FE;Италфармако С.п.а.;0.02083333333333333;http://www.italfarmaco.ru/;0.5069444444444444
0.0;;1.0;49.0;42.0;1.0;5.0;ChIJtfmJlfeySkERM8quumUoRUA;ТАД Фарма ГмбХ;0.012658227848101266;http://www.woerwagpharma.ru/;0.3375527426160338
0.0;;5.0;30.0;26.0;1.0;;ChIJu0cpgh5ItUYRgUw7GkBlxZA;Фармаприм ООО;0.2;http://grand-capital.ru/;0.5666666666666667
0.0;;1.0;59.0;113.0;1.0;5.0;ChIJu4O6bBG0SkERH2Glcrufkzo;Санофи-Синтелабо Лтд;0.03225806451612903;https://www.naturrecept.ru/;0.3440860215053763
0.0;;1.0;97.0;116.0;1.0;5.0;ChIJu4nq5OHPSkERVN5v6SzNWAI;Химфарм АО;0.002770083102493075;http://www.akrikhin.ru/;0.3342566943674977
