place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение;"Торговое наименование
лекарственного препарата"
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Никотиновая кислота
ChIJafQvE983tUYRPbvjlUgEH3o;Фармацевтическая фабрика Санкт-Петербурга ОАО;альфа-Токоферола ацетата раствор в масле (витамин Е)
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Рибофлавин (витамин В2)
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Рутин
;Тульская фармацевтическая фабрика ООО;Аскорбиновая кислота (витамин С)
;"ОАО ""Усолье-Сибирский химфармзавод""";Фенибута таблетки
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Мукалтина таблетки 0.05 г
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Тетрациклин
ChIJVVVlpAJItUYRmF7ec3ljIjY;Фармапол-Волга ООО;Эринита таблеточная масса
;Тульская фармацевтическая фабрика ООО;Цинковая мазь
ChIJHTRqI8LKSkERuw4Luplp0K0;Белгородская областная станция переливания крови;Альбумина раствор
ChIJN5t4CjesSkERQ1DK79U7f40;Вифитех ЗАО;Плантаглюцид
ChIJ65qH_ec5tUYRyqbFA00vVqM;Самарамедпром ОАО;Гидроперита таблетки
;"ОАО ""Усолье-Сибирский химфармзавод""";Дифенина таблетки
;Ивановская фармфабрика ОГУП;Элеутерококка экстракт жидкий
;Ивановская фармацевтическая фабрика ОАО;Элеутерококка экстракт жидкий
;Флора Кавказа ОАО;Элеутерококка экстракт жидкий
ChIJ6VPxt6NLtUYR3XgwKqK4w34;Алтайвитамины ЗАО;Глюкозы раствор для инфузий
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аптечный склад Рязань-Фармация ГУП;Этиловый спирт
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Этиловый спирт 95%
;Усолье-Сибирский химфармкомбинат ОАО;Диэтиламид никотиновой кислоты
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Перекиси водорода раствор
;Фито-Бот фирма ООО;Солодки корня сироп
;Тульская фармацевтическая фабрика ООО;Солодки корня сироп
;Ивановская фармфабрика ОГУП;Солодки корня сироп
ChIJ3cdO4_YitUYR1bzDyBHXDZ4;Фитасинтекс ООО;Калия карбонат
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Девясила корневища и корни
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Ольхи соплодия
;Фито-Бот фирма ООО;Душицы трава
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Душицы трава
ChIJs60Km8KtSkERvG2zW1VWZuw;"ЗАО ""Иван-чай""";Пастушьей сумки трава
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Тысячелистника трава
;Фито-Бот фирма ООО;Тысячелистника трава
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Тысячелистника трава
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Чебреца трава
;Фито-Бот фирма ООО;Чабреца трава
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Бузины черной цветки
ChIJieZTUhNKtUYRlHpcqUkqDTE;Микроген НПО ФГУП;Укропа пахучего плоды
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Березовые почки
ChIJs60Km8KtSkERvG2zW1VWZuw;ЗАО «Иван-Чай»;Березы почки
;Усолье-Сибирский химфармкомбинат ОАО;Сульфален
ChIJdeiwjKJMtUYRsg6dxI_VYk4;;Полиспонин
;Усолье-Сибирский химфармзавод ОАО;Пиразидол
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Владивостокская фармфабрика ОАО;Родиолы экстракт жидкий
ChIJWzVIbI85tUYRlTbKa0ve3tE;Синтез ОАО;Амфоглюкамин
ChIJ1zmbgUmtSkER_hO3YJ3iw_I;Северная звезда Лтд ЗАО;Ремантадин
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Владивостокская фармфабрика ОАО;Меновазин
;Кировская фармацевтическая фабрика ОГУП;Меновазин
ChIJd6COwHJNtUYRuWgi5sNziCk;Казанская фармацевтическая фабрика ЗАО;Меновазин
;Флора Кавказа ОАО;Меновазин
ChIJw6CGOPCxSkERZdlGuKq0HOk;Санкт-Петербургский НИИ вакцин и сывороток и предприятие по производству бактерийных препаратов ФГУП ФМБА;Метилурациловая мазь 10%
;Пятигорская фармацевтическая фабрика ФГУП;Пропоцеум
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Грудной сбор №1
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Грудной сбор №2
ChIJY83Q7CrTSkER4MHnT6ofxlc;Щелковский витаминный завод ОАО;Метотрексат
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Желудочный сбор №3
ChIJ7fU_PlizSkERe58hTrE18iE;Брынцалов-А ЗАО;Карбенициллина динатриевая соль
ChIJNaQzZUtStUYRKqSMbnCkSZg;Мир-Фарм ЗАО;Феназепам
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Бензонала таблетки 0.05 г
;Усолье-Сибирский химфармкомбинат ОАО;Фосфаден
ChIJFfC6-Ck5tUYR8_cDq_aEqeI;Фармзащита НПЦ ФГУП;Ферроцин
;Биологические исследования и системы ЗАО (БИС ЗАО);Тезан
;Усолье-Сибирский химфармкомбинат ОАО;Феникаберан
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Рибоксина таблетки покрытые оболочкой 0.2 г
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Рибоксин
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Грудной сбор №3
;Омская фармфабрика ОГУП;Камфорный спирт 2%
;Тверская фармфабрика ОАО;Камфорный спирт 2%
;Тульская фармацевтическая фабрика ООО;Циндол
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;ОАО Тверская фармацевтическая фабрика;Гэвкамен
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Владивостокская фармфабрика ОАО;Новокаина 0.66 г, фурацилина 0.066 г, спирта этилового 70% до 100 мл
ChIJv0hf4BJLtUYRK4WAOJkwknA;Ростовская фармфабрика ЗАО;Кальция хлорида раствор 50%
ChIJoQoEejBNtUYRRBUuwmAtndY;ЭХО НПК АОЗТ;Пантогам
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Владивостокская фармфабрика ОАО;Новоциндол
;Тульская фармацевтическая фабрика ООО;Микстура от кашля для взрослых сухая
;Тульская фармацевтическая фабрика ООО;Микстура от кашля для детей сухая
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Сибазон
;Тульская фармацевтическая фабрика ООО;Глицерина 25 г, аммиака раствор 10%-25 мл, этиловый спирт 95%-25 мл, вода дистиллированная до 100 мл
;Тульская фармацевтическая фабрика ООО;Фурацилина раствор спиртовой 1:1500
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ЗАО;Смесь для ингаляций
;Тульская фармфабрика ГУП;Календула мазь
;Ивановская фармфабрика ОГУП;Чаги настойка
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Алантон
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Пирацетам
ChIJX06hGxg1tUYRU-4AgiDAxTY;Биохимик ОАО;Реополиглюкин сухой
ChIJeZc7yh21SkERx5trQmeTwnI;Дальхимфарм ОАО;Оксипрогестерона капроната раствор для инъекций в масле
;Тульская фармацевтическая фабрика ООО;Фукорцин
;Усолье-Сибирский химфармкомбинат ОАО;Ксантинола никотинат
;Ивановская фармфабрика ОГУП;Левомицетина раствор спиртовой
;Тверская фармфабрика ОАО;Левомицетина раствор спиртовой
ChIJfc2KK7qtSkERmQNGKtfCpNU;Фармцентр ВИЛАР ЗАО;Сангвиритрин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Нитразепам
ChIJ6VPxt6NLtUYR3XgwKqK4w34;Алтайвитамины ЗАО;Синафлана мазь 0.025%
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Хлозепид
ChIJeZc7yh21SkERx5trQmeTwnI;Дальхимфарм ОАО;Дроперидола раствор для инъекций 0.25%
;Биологические исследования и системы ЗАО (БИС ЗАО);Риодоксол
ChIJSwO4aDNPtUYR0ZfngcBhfqs;Эмпилс-Фох ЗАО;Оксодолин
;Усолье-Сибирский химфармкомбинат ОАО;Карнитина хлорид
;Усолье-Сибирский химфармкомбинат ОАО;Анальгин для инъекций
;Усолье-Сибирский химфармкомбинат ОАО;Феракрил
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Пирацетама таблетки покрытые оболочкой 0.2 г
;Усолье-Сибирский химфармкомбинат ОАО;Бутироксан
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Димебон
ChIJNaQzZUtStUYRKqSMbnCkSZg;Мир-Фарм ЗАО;Триметоприм
ChIJ-yDxtkVKtUYR6StRAzK969o;Технолог СКТБ ФГУП Минобразования России;Бемитил
ChIJFfC6-Ck5tUYR8_cDq_aEqeI;Фармзащита НПЦ ГП;Амбен
;"ОАО ""Усолье-Сибирский химфармзавод""";Ксантинола никотинат
ChIJBb2QJkBNtUYRebKm_xR9Qto;Опытное производство института биоорганической химии;Мегосин
ChIJieZTUhNKtUYRlHpcqUkqDTE;Микроген НПО ФГУП;Рибоксина раствор для инъекций 2%
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Аминостигмин
ChIJ-9R0KTpKtUYR0r_MbfEmUNg;НИОПиК ГНЦ ФГУП;Этацизин
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Верапамила гидрохлорида таблетки покрытые оболочкой
ChIJX06hGxg1tUYRU-4AgiDAxTY;Биохимик ОАО;Ортофена таблетки покрытые оболочкой 0.025 г
;Ирбитский ХФЗ ОАО;Дофамин
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Ортофен
ChIJ-9R0KTpKtUYR0r_MbfEmUNg;НИОПиК ГНЦ ФГУП;Циклофосфан
;Институт фармакохимии АН Грузии, Экспериментально-производственная база;Фларонин
ChIJw6CGOPCxSkERZdlGuKq0HOk;Санкт-Петербургский НИИ вакцин и сывороток и предприятие по производству бактерийных препаратов ФГУП ФМБА;Блеомицетина гидрохлорид для инъекций 0.005 г
ChIJWzVIbI85tUYRlTbKa0ve3tE;Синтез ОАО;Цефалотина натриевая соль
ChIJfc2KK7qtSkERmQNGKtfCpNU;Фармцентр ВИЛАР ЗАО;Алпизарина таблетки 0.1 г
